,0
0,2019-10-15
1,2019-10-16
2,2019-10-17
3,2019-10-18
4,2019-10-21
5,2019-10-22
6,2019-10-23
7,2019-10-24
8,2019-10-25
9,2019-10-28
10,2019-10-29
11,2019-10-30
12,2019-10-31
13,2019-11-01
14,2019-11-04
15,2019-11-05
16,2019-11-06
17,2019-11-07
18,2019-11-08
19,2019-11-11
20,2019-11-12
21,2019-11-13
22,2019-11-14
23,2019-11-15
24,2019-11-18
25,2019-11-19
26,2019-11-20
27,2019-11-21
28,2019-11-22
29,2019-11-25
30,2019-11-26
31,2019-11-27
32,2019-11-28
33,2019-11-29
34,2019-12-02
35,2019-12-03
36,2019-12-04
37,2019-12-05
38,2019-12-06
39,2019-12-09
40,2019-12-10
41,2019-12-11
42,2019-12-12
43,2019-12-13
44,2019-12-16
45,2019-12-17
46,2019-12-18
47,2019-12-19
48,2019-12-20
49,2019-12-23
50,2019-12-24
51,2019-12-25
52,2019-12-26
53,2019-12-27
54,2019-12-30
55,2019-12-31
56,2020-01-01
57,2020-01-02
58,2020-01-03
59,2020-01-06
60,2020-01-07
61,2020-01-08
62,2020-01-09
63,2020-01-10
64,2020-01-13
65,2020-01-14
66,2020-01-15
67,2020-01-16
68,2020-01-17
69,2020-01-20
70,2020-01-21
71,2020-01-22
72,2020-01-23
73,2020-01-24
74,2020-01-27
75,2020-01-28
76,2020-01-29
77,2020-01-30
78,2020-01-31
79,2020-02-03
80,2020-02-04
81,2020-02-05
82,2020-02-06
83,2020-02-07
84,2020-02-10
85,2020-02-11
86,2020-02-12
87,2020-02-13
88,2020-02-14
89,2020-02-17
90,2020-02-18
91,2020-02-19
92,2020-02-20
93,2020-02-21
94,2020-02-24
95,2020-02-25
96,2020-02-26
97,2020-02-27
98,2020-02-28
99,2020-03-02
100,2020-03-03
101,2020-03-04
102,2020-03-05
103,2020-03-06
104,2020-03-09
105,2020-03-10
106,2020-03-11
107,2020-03-12
108,2020-03-13
109,2020-03-16
110,2020-03-17
111,2020-03-18
112,2020-03-19
113,2020-03-20
114,2020-03-23
115,2020-03-24
116,2020-03-25
117,2020-03-26
118,2020-03-27
119,2020-03-30
120,2020-03-31
121,2020-04-01
122,2020-04-02
123,2020-04-03
124,2020-04-06
125,2020-04-07
126,2020-04-08
127,2020-04-09
128,2020-04-10
129,2020-04-13
130,2020-04-14
131,2020-04-15
132,2020-04-16
133,2020-04-17
134,2020-04-20
135,2020-04-21
136,2020-04-22
137,2020-04-23
138,2020-04-24
139,2020-04-27
140,2020-04-28
141,2020-04-29
142,2020-04-30
143,2020-05-01
144,2020-05-04
145,2020-05-05
146,2020-05-06
147,2020-05-07
148,2020-05-08
149,2020-05-11
150,2020-05-12
